Date;Libellé;Catégorie;Montant;Devise;Montant EUR;Payé par;Partage;Participants;Hôtel;Nuits;Supprimé;id
2026-09-03 06:30;Chambre 1;hotel;292.32;EUR;292.32;Niv;equal;Niv;The Park Chennai;4;;nivhotel-park
2026-09-03 06:30;Chambre 2;hotel;261.23;EUR;261.23;Niv;equal;Amma Appa;The Park Chennai;4;;1786794484045u93h1
2026-09-03 06:30;Chambre 3;hotel;261.23;EUR;261.23;Niv;equal;Selvan Viji sitta sitti;The Park Chennai;4;;1786794484045zu8u2
2026-09-03 06:30;Chambre 4;hotel;130.61;EUR;130.61;Niv;equal;Mama;The Park Chennai;4;;17867944840453bnn3
2026-09-03 06:30;Chambre 5;hotel;130.61;EUR;130.61;Niv;equal;Paramu sitta;The Park Chennai;4;;1786794484045e7ks4
2026-09-04 06:30;Le 4;transport;155.9;INR;1.42;Niv;shares;;;;;17885025127143upl
2026-09-04 06:30;Le 4;transport;146;INR;1.33;Niv;shares;;;;;1788502547909b6r9
2026-09-04 06:30;;transport;242;INR;2.2;Niv;equal;;;;;1788541366808pl2k
2026-09-04 06:30;;transport;307;INR;2.79;Niv;equal;;;;;17885413980937t39
2026-09-05 06:30;;food;1219;INR;11.08;Amma Appa;equal;;;;;1788578131162cn3i
2026-09-05 06:30;;food;45.91;INR;0.42;Niv;equal;;;;;1788578151222xfw8
2026-09-05 06:30;;transport;125;INR;1.14;Amma Appa;equal;;;;;1788585710848xdtz
2026-09-05 06:30;;transport;125;INR;1.14;Selvan Viji sitta sitti;equal;;;;;1788585721967yl72
2026-09-05 06:30;;transport;500;INR;4.55;Amma Appa;equal;;;;;1788585759914e3ir
2026-09-05 06:30;Petit déjeuner à l’hôtel le 5;food;10154;INR;92.31;Niv;equal;Niv / Amma Appa / Mama / Selvan Viji sitta sitti;;;;1788589039168q1kv
2026-09-05 06:30;Taxi pour Saint-Georges plus Museum;transport;700;INR;6.18;Niv;equal;Niv / Amma Appa / Mama / Selvan Viji sitta sitti;;;;1788597282977yw63
2026-09-06 06:30;Restaurant amman;food;4000;INR;35.34;Niv;equal;Niv / Amma Appa / Mama / Selvan Viji sitta sitti;;;;1788705332387fmne
2026-09-07 06:30;petit déjeuner avant Tirupati;food;2575;INR;22.75;Niv;equal;;;;;1788750666496b9lo
2026-09-07 06:30;Hôtel pour les Bagage;other;2000;INR;17.67;Niv;equal;;;;;17887833446246881
2026-09-07 06:30;Restaurant, après Tirupati;food;3475;INR;30.7;Niv;equal;;;;;1788787614610uyp3
2026-09-07 06:30;;tips;500;INR;4.42;Niv;equal;;;;;178879324419182sg
2026-09-07 06:30;;tips;200;INR;1.77;Mama;equal;;;;;1788793270338casu
2026-09-07 06:30;;tips;500;INR;4.42;Niv;equal;;;;;1788793311315r36e
2026-09-07 06:30;Chambre 1;hotel;26.69;EUR;26.69;Niv;equal;Niv;Hotel Mamallaa Heritage;1;;mamallaa-2026-09-07
